tx_count,total_volume,avg_frequency,avg_time_between,stablecoin_ratio,avg_holding_period,volatility_index,diversity_score,total_loans,repaid_loans,defaulted_loans,avg_repayment_time,protocol_count,yield_farming_activity,smart_contract_calls,defi_experience,loan_amount,collateral_amount,loan_to_collateral_ratio,duration_days,interest_rate,account_age_days,default,default_probability
83,94690.06860887715,8.312731554216219,197.90979471735093,0.6878912604120803,73,0.014707974555807472,0.6479104937741282,13,9,2,0.6343953037150623,5,0.16164547366010576,183,138,14021.462306560396,24081.939570760318,0.5822397429974827,65,1218.7777597109148,158,1,0.1291185735827839
450,484347.5839788483,5.531333071576135,83.38586309934078,0.6040727884275641,39,0.48180123332787683,0.6405965885223645,13,4,2,0.7548883077215025,4,0.27849815411162976,192,180,172438.02927444322,451256.1056739614,0.38212896646994515,98,959.0545910042667,251,0,0.25561656691634516
366,116540.49701611939,3.908604871302355,21.796866363678284,0.267833118720153,113,0.7588283250433832,0.46753428606014613,12,9,1,0.6825097442877087,4,0.45208653019761225,31,220,30982.874703603506,58677.784094006056,0.5280171223570185,163,370.79959965866635,482,0,0.01
34,242752.9273369957,3.758814956980664,9.733369144970728,0.2859615336817488,185,0.48380260095536365,0.48438545399041744,9,6,2,1.0,2,0.37742110383992555,44,112,70655.74437826744,178282.77437753734,0.3963127936782303,46,823.9951898232821,338,1,0.16736534587526022
153,1354098.079307883,6.384677898034874,18.616031606930527,0.5423614104737723,132,0.506769595132604,0.5111569568266066,10,8,1,0.49726818263033684,4,0.09136806545485962,19,89,18543.884512409488,48619.68572684218,0.38140691851843245,114,936.6297595222027,262,0,0.06156052868601633
833,322196.92498942616,8.669845724189782,30.629288581877926,0.6605156597395393,86,0.9813692402368513,0.3296021599905215,9,6,1,0.7678586046078006,7,0.25086157471984466,19,118,84914.47166144826,202031.30653355352,0.42030353175657753,105,825.8610400082173,225,0,0.13913279657801497
410,103193.74583045467,2.592278257585847,75.84343542418505,0.6698003965831661,159,0.2718977392362715,0.6587963049697836,11,7,2,0.7356464538097441,2,0.3597124717265533,72,115,29903.5981406627,68085.89849310106,0.43920398794021553,162,704.1234386656686,209,0,0.10506345142948934
135,294330.122804846,1.4956792965517716,47.44810125256588,0.472273625358839,113,0.43283389608786677,0.34351255609551745,15,5,2,1.0,9,0.28422927941397286,24,180,4247.055495218215,11260.493016996326,0.3771642581552875,101,871.7532642186983,118,0,0.21249371856447874
268,64800.006533981395,5.052958079041742,6.9799782436775475,0.5197324115743215,41,0.4119276332852524,0.3163807286113648,9,7,0,0.14768071927077914,6,0.27644043098905474,52,198,3112.855494161954,4167.29257235499,0.7469731102663714,121,579.2504460809738,189,0,0.12753400157584335
48,32106.31476149049,2.895597690978932,23.740951205890024,0.42577173269686325,106,0.6879073357101705,0.7501889582079111,9,7,1,0.6495347075465784,2,0.058935209296580165,193,85,21917.8383221544,45394.24055864302,0.4828330213794328,63,983.9464428394106,193,0,0.05949419530912475
186,43539.68213709029,2.1698887405233585,16.79928505241495,0.7462904246985519,94,0.3024558022391841,0.6832215910343922,8,6,0,0.23560029147269715,2,0.19293895968926977,17,527,52344.816270280906,122403.80398457141,0.42764043735829316,72,545.6118501509699,232,0,0.01
266,67256.93281991758,2.031821086191474,92.65530797643608,0.4253403267583122,87,0.5200716768316138,0.49308967430977474,15,10,2,0.39787102765964916,3,0.5366038530083055,343,113,68561.25957507307,159236.92759669686,0.43056130641203905,46,964.7655657356888,725,0,0.04376312315284217
257,17036.716861106954,14.347819312584557,100.17210947530475,0.35300594403282853,146,0.634528954554446,0.619733850666553,14,12,1,0.615700412228941,2,0.15912815008440517,866,295,4789.645810687251,11835.163788333044,0.40469619992997674,109,198.9623853828376,300,0,0.01
112,214917.45452886043,14.61938825850153,77.36937715366034,0.898834815587488,176,0.40444080300472013,0.5147940420904564,12,10,1,0.31837214897939337,5,0.17698844516803172,7,64,6473.95113398922,13339.612753784171,0.48531777147374044,128,332.9486137468199,82,0,0.052110062508019514
122,72182.64014680863,2.79511827381701,45.142859184555235,0.22107157113945852,97,0.5043005693721175,0.2642844009870227,11,8,2,0.5894479602020221,4,0.2350213142037239,4,518,19070.73329027804,47178.164771989344,0.40422795974464715,87,1476.572611691753,117,0,0.2111938866328561
6,11249.077426536705,2.646077242441035,107.13046132132396,0.579087113218953,81,0.4136708546518906,0.5374508220107866,16,12,1,0.6383501569115743,2,0.5707775057513123,77,255,64221.889230212924,150810.03603857,0.4258462561058472,86,871.7911834893207,218,0,0.04534488537095306
4,4473.4775449942945,1.3777195800887296,24.908831934514417,0.7332840488155704,63,0.40989532162337483,0.7099673142038873,11,6,2,0.6889132334572359,6,0.4313677574252716,16,337,325727.5287993548,847059.4585110871,0.3845391554589333,59,962.4559493944638,400,0,0.05754026609854987
28,26611.527029130593,2.7103859023051875,71.89099085766024,0.2039846363488744,46,0.5007103742583874,0.4833353914338131,13,5,3,0.6746658173783329,0,0.252948777023685,47,215,2906.274740285269,7602.614868762802,0.38227304558414604,110,1430.7108881461688,275,0,0.37459035101560423
